iter	Passed	Remaining
0	128	128010
1	129	64470
2	130	43287
3	131	32672
4	132	26310
5	133	22126
6	134	19122
7	135	16831
8	136	15043
9	137	13610
10	138	12430
11	139	11454
12	139	10629
13	140	9915
14	141	9301
15	142	8775
16	143	8312
17	144	7895
18	145	7519
19	146	7184
20	148	6909
21	149	6637
22	150	6376
23	150	6140
24	152	5928
25	152	5728
26	153	5541
27	154	5367
28	155	5205
29	156	5054
30	157	4913
31	158	4780
32	158	4656
33	159	4539
34	160	4429
35	161	4329
36	162	4236
37	163	4148
38	164	4062
39	165	3979
40	166	3900
41	167	3830
42	169	3761
43	170	3693
44	170	3628
45	171	3563
46	172	3501
47	173	3442
48	174	3385
49	175	3333
50	176	3288
51	178	3247
52	179	3201
53	180	3155
54	181	3111
55	181	3067
56	182	3023
57	183	2982
58	184	2944
59	185	2906
60	186	2868
61	187	2832
62	188	2797
63	188	2763
64	189	2730
65	190	2702
66	192	2677
67	193	2647
68	194	2618
69	194	2589
70	195	2561
71	196	2534
72	197	2508
73	198	2482
74	199	2456
75	200	2431
76	200	2407
77	201	2383
78	202	2361
79	203	2338
80	204	2316
81	205	2295
82	205	2271
83	206	2255
84	208	2239
85	209	2221
86	209	2203
87	210	2184
88	211	2166
89	212	2148
90	213	2131
91	214	2114
92	215	2097
93	215	2081
94	216	2065
95	217	2049
96	218	2034
97	219	2018
98	220	2003
99	221	1994
100	222	1981
101	223	1967
102	224	1953
103	225	1940
104	226	1927
105	226	1913
106	227	1900
107	228	1888
108	229	1875
109	230	1863
110	231	1851
111	231	1839
112	232	1827
113	233	1816
114	234	1804
115	235	1793
116	236	1786
117	238	1779
118	238	1768
119	239	1759
120	240	1750
121	241	1740
122	242	1730
123	243	1720
124	244	1710
125	245	1701
126	245	1690
127	246	1681
128	247	1672
129	248	1663
130	249	1654
131	250	1645
132	251	1638
133	252	1631
134	253	1623
135	254	1615
136	255	1607
137	256	1602
138	257	1596
139	258	1589
140	259	1582
141	260	1573
142	261	1565
143	262	1557
144	262	1550
145	263	1542
146	264	1535
147	265	1528
148	266	1522
149	267	1516
150	268	1510
151	269	1504
152	270	1498
153	271	1491
154	272	1485
155	273	1478
156	274	1472
157	275	1465
158	275	1459
159	276	1452
160	277	1445
161	278	1438
162	278	1432
163	279	1426
164	280	1420
165	281	1415
166	282	1411
167	283	1406
168	284	1401
169	285	1395
170	286	1389
171	287	1384
172	288	1378
173	289	1372
174	290	1367
175	290	1362
176	291	1356
177	292	1351
